北辰墅院1900,住宅,顺兴街11号院望尊园,3室,83,36000,430
燕西华府,别墅,"王佐镇青龙湖公园东1500米, 泉湖西路1号院（七区）, 泉湖西路1号院（六区）",3室,350,47000,1400
京西悦府,住宅,燕房线阎村地铁站东南角约189米,[],120,33000,440
福景苑,住宅,亮马桥路46号,1室,145,83000,1150
合景寰汇公馆,住宅,北京市通州区滨河中路西侧（合景寰汇公馆）,2室,77,35000,280
K2十里春风,住宅,北京市通州区,2室,74,23500,188
K2十里春风,别墅,北京市通州区,3室,155,28000,440
玺萌壹號院,别墅,西南三环嘉园路与镇国寺北街交叉口,5室,320,90000,3650
北京书院,住宅,北京市朝阳区北土城东路辅路,2室,79,155000,1268
中铁华侨城和园,住宅,南五环南海子公园西侧约500米,3室,154,60000,930
顺鑫颐和天璟,住宅,北京市顺义区牛栏山镇牛富路顺鑫颐和天璟禧润售楼中心,4室,110,28000,400
顺鑫颐和天璟,别墅,新城右堤路与昌金路交汇处向北200米,4室,278,28000,950
永旺19街,商业,地铁生物医药基地站向南200米,[],,24000,299
北京城建北京合院,住宅,燕京街与通顺路交汇口东800米(仁和公园南),3室,95,46000,556
复地运河公馆,住宅,通州运河核心区临滨河西路,2室,89,43000,450
北京城建北京合院,别墅,燕京街与通顺路交汇口东800米(仁和公园南),4室,210,39000,1000
月亮河七星公馆,住宅,通燕高速耿庄桥出口南200米月亮河，河滨路1号,1室,55,68000,374
天润福熙大道,住宅,"清河营东路1号院, 清河营东路3号院",1室,65,108000,750
京贸国际公馆,住宅,怡乐中路299号院（广渠快速路二期出口向南1000米）,1室,72,64000,495
凯德麓语,别墅,兴寿镇京承高速G11出口向西怀昌路北侧,3室,280,35000,850
京贸国际城·峰景,住宅,芙蓉东路1号（通燕高速耿庄桥北出口向南300米）,1室,69,68000,460
观唐云鼎,别墅,溪翁庄镇密溪路39号院（云佛山度假村对面）,3室,346,30000,1068
硅谷SOHO,商业类,京藏高速科技园出口（28出口）凉水河路,1室,49,20000,85
旭辉城,住宅,北京市房山区良锦街6号院旭辉城营销中心,2室,75,28500,219
檀香府,住宅,京潭大街与潭柘十街交叉口,3室,124,42000,530
泰禾金府大院,别墅,南四环地铁新宫站南800米,4室,362,75000,2700
和棠瑞著,别墅,金海湖景区坝前广场西侧500米,3室,305,16000,530
尊悦光华,住宅,北京市朝阳区光华东里甲1号院3号楼,3室,133,150000,2500
首创·河著,别墅,京承高速11出口（昌金路）向东900 米路北,4室,248,38000,1200
华萃西山,住宅,永定镇地铁S1号线石厂西南700米,3室,115,48000,560
京西悦府,别墅,北京市房山区燕房线阎村地铁站东南角约189米,3室,175,40000,700
中粮天恒天悦壹号,别墅,南四环地铁新宫站南500米,4室,220,80000,2000
龙湾别墅,住宅,后沙峪镇龙湾别墅,4室,218,70000,2300
京投发展·锦悦府,住宅,檀营乡檀东路西侧,3室,90,25607,220
京投发展·锦悦府,别墅,檀营乡檀东路西侧,3室,187,25000,400
金辰府,住宅,北京市昌平区北七家镇政府东南100米,3室,89,55000,490
龙湖熙湖悦著,住宅,大苑村收费站出口（良坨路桥）左行200米,3室,73,37000,260
建邦·顺颐府,住宅,空港B区裕民大街30号千里马国际一层建邦·顺颐府售楼中心,3室,89,55583,480
葛洲坝中国府,住宅,北京市丰台东路46号,3室,168,125000,2200
华萃西山,别墅,门头沟永定镇地铁S1号线石厂站西南700米,4室,135,48000,760
北京东湾,住宅,通惠北路98号,1室,58,68500,410
富兴首府,住宅,东坝路9号东北60米,3室,144,85000,1706
中铁诺德阅墅,别墅,顺义区后沙峪镇裕园路762乡龙湖滟澜山对面,4室,235,50000,1150
懋源·璟岳,别墅,南三环西路99号院,4室,465,140000,6500
合景泰富天汇,住宅,顺义区昌金路与通顺路交汇处,2室,70,33000,230
懋源·璟玺,别墅,孙河京密路与京平辅路交叉口西行1000米,4室,500,100000,3920
万科雲庐,住宅,魏各庄路万科雲庐。售楼处位置在山湖路与泉湖西湖交叉位置,4室,104,39000,656
万科雲庐,别墅,魏各庄路万科雲庐,4室,200,30000,852
金茂北京国际社区,住宅,顺义新城北小营昌金路水色时光路西,1室,50,30000,160
住总如院,住宅,北京市大兴区采华路(波尔多小镇南区西南侧约250米),2室,98,31136,280
": 219}
{"楼盘名称": "檀香府", "类型": "住宅", "地理位置": "京潭大街与潭柘十街交叉口", "房型": "3室", "面积": 124, "均价": 42000, "总价": 530}
{"楼盘名称": "泰禾金府大院", "类型": "别墅", "地理位置": "南四环地铁新宫站南800米", "房型": "4室", "面积": 362, "均价": 75000, "总价": 2700}
{"楼盘名称": "和棠瑞著", "类型": "别墅", "地理位置": "金海湖景区坝前广场西侧500米", "房型": "3室", "面积": 305, "均价": 16000, "总价": 530}
{"楼盘名称": "尊悦光华", "类型": "住宅", "地理位置": "北京市朝阳区光华东里甲1号院3号楼", "房型": "3室", "面积": 133, "均价": 150000, "总价": 2500}
{"楼盘名称": "首创·河著", "类型": "别墅", "地理位置": "京承高速11出口（昌金路）向东900 米路北", "房型": "4室", "面积": 248, "均价": 38000, "总价": 1200}
{"楼盘名称": "华萃西山", "类型": "住宅", "地理位置": "永定镇地铁S1号线石厂西南700米", "房型": "3室", "面积": 115, "均价": 48000, "总价": 560}
{"楼盘名称": "京西悦府", "类型": "别墅", "地理位置": "北京市房山区燕房线阎村地铁站东南角约189米", "房型": "3室", "面积": 175, "均价": 40000, "总价": 700}
{"楼盘名称": "中粮天恒天悦壹号", "类型": "别墅", "地理位置": "南四环地铁新宫站南500米", "房型": "4室", "面积": 220, "均价": 80000, "总价": 2000}
{"楼盘名称": "龙湾别墅", "类型": "住宅", "地理位置": "后沙峪镇龙湾别墅", "房型": "4室", "面积": 218, "均价": 70000, "总价": 2300}
{"楼盘名称": "京投发展·锦悦府", "类型": "住宅", "地理位置": "檀营乡檀东路西侧", "房型": "3室", "面积": 90, "均价": 25607, "总价": 220}
{"楼盘名称": "京投发展·锦悦府", "类型": "别墅", "地理位置": "檀营乡檀东路西侧", "房型": "3室", "面积": 187, "均价": 25000, "总价": 400}
{"楼盘名称": "金辰府", "类型": "住宅", "地理位置": "北京市昌平区北七家镇政府东南100米", "房型": "3室", "面积": 89, "均价": 55000, "总价": 490}
{"楼盘名称": "龙湖熙湖悦著", "类型": "住宅", "地理位置": "大苑村收费站出口（良坨路桥）左行200米", "房型": "3室", "面积": 73, "均价": 37000, "总价": 260}
{"楼盘名称": "建邦·顺颐府", "类型": "住宅", "地理位置": "空港B区裕民大街30号千里马国际一层建邦·顺颐府售楼中心", "房型": "3室", "面积": 89, "均价": 55583, "总价": 480}
{"楼盘名称": "葛洲坝中国府", "类型": "住宅", "地理位置": "北京市丰台东路46号", "房型": "3室", "面积": 168, "均价": 125000, "总价": 2200}
{"楼盘名称": "华萃西山", "类型": "别墅", "地理位置": "门头沟永定镇地铁S1号线石厂站西南700米", "房型": "4室", "面积": 135, "均价": 48000, "总价": 760}
{"楼盘名称": "北京东湾", "类型": "住宅", "地理位置": "通惠北路98号", "房型": "1室", "面积": 58, "均价": 68500, "总价": 410}
{"楼盘名称": "富兴首府", "类型": "住宅", "地理位置": "东坝路9号东北60米", "房型": "3室", "面积": 144, "均价": 85000, "总价": 1706}
{"楼盘名称": "中铁诺德阅墅", "类型": "别墅", "地理位置": "顺义区后沙峪镇裕园路762乡龙湖滟澜山对面", "房型": "4室", "面积": 235, "均价": 50000, "总价": 1150}
{"楼盘名称": "懋源·璟岳", "类型": "别墅", "地理位置": "南三环西路99号院", "房型": "4室", "面积": 465, "均价": 140000, "总价": 6500}
{"楼盘名称": "合景泰富天汇", "类型": "住宅", "地理位置": "顺义区昌金路与通顺路交汇处", "房型": "2室", "面积": 70, "均价": 33000, "总价": 230}
{"楼盘名称": "懋源·璟玺", "类型": "别墅", "地理位置": "孙河京密路与京平辅路交叉口西行1000米", "房型": "4室", "面积": 500, "均价": 100000, "总价": 3920}
{"楼盘名称": "万科雲庐", "类型": "住宅", "地理位置": "魏各庄路万科雲庐。售楼处位置在山湖路与泉湖西湖交叉位置", "房型": "4室", "面积": 104, "均价": 39000, "总价": 656}
{"楼盘名称": "万科雲庐", "类型": "别墅", "地理位置": "魏各庄路万科雲庐", "房型": "4室", "面积": 200, "均价": 30000, "总价": 852}
{"楼盘名称": "金茂北京国际社区", "类型": "住宅", "地理位置": "顺义新城北小营昌金路水色时光路西", "房型": "1室", "面积": 50, "均价": 30000, "总价": 160}
{"楼盘名称": "住总如院", "类型": "住宅", "地理位置": "北京市大兴区采华路(波尔多小镇南区西南侧约250米)", "房型": "2室", "面积": 98, "均价": 31136, "总价": 280}
